wavelength,Z_L_IRCF,Z_IRCF,Z_H_IRCF,Y_L_IRCF,Y_IRCF,Xl_IRCF,Xl_H_IRCF,685_055_IRCF
447,0.021268994,0.534969641,0.029508693,0.042059283,0.024230054,0.003187339,0.006999799,0.007044484
448,0.016641093,0.535282669,0.03648505,0.043278104,0.025350783,0.003265381,0.007939098,0.006888617
449,0.012640417,0.535742841,0.044837169,0.045154305,0.026438777,0.003338973,0.009012992,0.00670076
450,0.009448314,0.536439492,0.054584314,0.047468429,0.027490464,0.003407996,0.009989434,0.006497162
451,0.007253852,0.537055765,0.066227947,0.050087044,0.02857294,0.003469622,0.010837032,0.006254937
452,0.00584759,0.537264933,0.07952645,0.052727398,0.029762518,0.003511413,0.011455215,0.005976779
453,0.004840384,0.536804291,0.094970507,0.05528586,0.03120674,0.003531742,0.011677412,0.005711252
454,0.004058676,0.535798887,0.112194991,0.057638827,0.032829793,0.003537627,0.01133371,0.005504542
455,0.003434039,0.534262533,0.13155142,0.059952543,0.034578753,0.003526581,0.011746163,0.005328057
456,0.00297553,0.532370345,0.152819412,0.062322501,0.036382536,0.003493049,0.012035942,0.005086297
457,0.002680481,0.529973128,0.176795801,0.064776658,0.038272363,0.003430124,0.012122685,0.00480152
458,0.002540379,0.527059827,0.20326429,0.067187751,0.040205027,0.003340032,0.012022606,0.004484871
459,0.002497273,0.523322884,0.231750242,0.069482595,0.042122387,0.003243243,0.011776624,0.004027614
460,0.002510497,0.518858451,0.262577838,0.071571321,0.044061432,0.003183533,0.01142136,0.003349782
461,0.002564649,0.513520705,0.296116039,0.073390898,0.046062053,0.003166089,0.01097518,0.002388428
462,0.002641883,0.507358123,0.331017268,0.075311298,0.048065307,0.003168626,0.010479174,0.002334176
463,0.002729768,0.49974696,0.367209134,0.078592473,0.050067379,0.003177808,0.009921221,0.002430885
464,0.002822465,0.490820405,0.403260827,0.08291942,0.052032729,0.003189911,0.009309404,0.002558025
465,0.002930104,0.480775956,0.439215875,0.087773431,0.054066321,0.003200717,0.008712904,0.002703018
466,0.003039564,0.469461186,0.473604448,0.092839025,0.056099921,0.003195161,0.008255583,0.002852579
467,0.003145422,0.457496007,0.505115038,0.098018861,0.058108158,0.003166119,0.00790201,0.003000991
468,0.003247564,0.444898177,0.533348832,0.103385413,0.060152365,0.00312143,0.007608094,0.003151297
469,0.003354236,0.431765139,0.557680155,0.108914593,0.06238639,0.003073998,0.007361095,0.003311666
470,0.003443983,0.417574107,0.576310822,0.114280407,0.064810474,0.003022703,0.007131058,0.003474241
471,0.00352915,0.402496741,0.587781834,0.119509354,0.067559538,0.002966632,0.006924644,0.003643712
472,0.0036191,0.38700667,0.590419933,0.124515512,0.070607249,0.00290276,0.006754449,0.003821106
473,0.003701561,0.370612887,0.588017788,0.129251281,0.073831176,0.002826916,0.006601956,0.004006485
474,0.00377711,0.353941925,0.584595649,0.133949844,0.077107346,0.002737817,0.006470817,0.004207426
475,0.003858458,0.337291494,0.580052627,0.139236597,0.080554847,0.002633839,0.006379479,0.004440318
476,0.003918544,0.32029873,0.573942686,0.145070114,0.084038042,0.002509646,0.00631252,0.004695164
477,0.003963624,0.303657146,0.566109436,0.151152281,0.087513846,0.002400153,0.006257378,0.004972142
478,0.004012544,0.287721436,0.556441068,0.157317162,0.091160968,0.002350372,0.006216357,0.005284002
479,0.00405359,0.271725039,0.544744928,0.163389591,0.095076214,0.002341481,0.006183621,0.005631899
480,0.004088351,0.25625168,0.531711052,0.168984249,0.09916229,0.002351692,0.006169971,0.006002549
481,0.004139398,0.241564223,0.517314268,0.174268489,0.103496972,0.002372629,0.006241614,0.006400123
482,0.004199377,0.227065585,0.501289051,0.179761115,0.107952619,0.002394746,0.006460859,0.006811432
483,0.004293147,0.213482912,0.483792729,0.18660581,0.112514838,0.002421612,0.00681208,0.007229036
484,0.004393044,0.200320154,0.464997251,0.194912191,0.116936726,0.002445318,0.007227637,0.00763281
485,0.004522014,0.187711551,0.444728247,0.204582667,0.121386065,0.002467996,0.007691842,0.00803401
486,0.004683451,0.175945359,0.423855053,0.215042747,0.125954065,0.002490063,0.008171124,0.008425049
487,0.004853578,0.164510311,0.402757489,0.225947996,0.130872807,0.002512601,0.008632977,0.00878612
488,0.005047793,0.153750022,0.380970499,0.238015549,0.136686703,0.002554013,0.009089898,0.00913555
489,0.005248804,0.144389621,0.359487392,0.251386445,0.143115702,0.002619243,0.009514016,0.009459421
490,0.005448505,0.136171521,0.338440943,0.266312726,0.15004871,0.002707739,0.009898662,0.009754562
